epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.075,0.87702,1.3289,1.04649,0.75981,0.73044,0.76598,0.58336,0.63122,0.70516,0.88617,0.000369988,0.000369988,0.000369988
2,1112.53,0.66808,0.79105,0.93461,0.73337,0.55178,0.55495,0.42547,0.56764,0.5977,0.86413,0.000725663,0.000725663,0.000725663
3,1896.47,0.62339,0.69067,0.91378,0.85979,0.58963,0.62936,0.50322,0.5406,0.52215,0.84504,0.00106667,0.00106667,0.00106667
4,2686.66,0.59132,0.62636,0.90448,0.73634,0.71564,0.72045,0.58229,0.5333,0.47983,0.841,0.00104501,0.00104501,0.00104501
5,3453.63,0.55769,0.57122,0.89477,0.89422,0.82277,0.85313,0.70363,0.48519,0.41319,0.82778,0.00102301,0.00102301,0.00102301
6,4305.98,0.54663,0.54588,0.88944,0.86575,0.82511,0.85377,0.69902,0.48363,0.42049,0.82526,0.00100101,0.00100101,0.00100101
7,5136.72,0.53118,0.52945,0.8854,0.83766,0.8091,0.82101,0.68802,0.48423,0.42285,0.82955,0.000979013,0.000979013,0.000979013
8,5915.95,0.5172,0.51484,0.88082,0.86829,0.83634,0.88272,0.73237,0.46187,0.38826,0.81918,0.000957015,0.000957015,0.000957015
9,6638.24,0.50432,0.48767,0.87746,0.8608,0.86257,0.8955,0.75413,0.45959,0.38715,0.81362,0.000935018,0.000935018,0.000935018
10,7260.74,0.50023,0.48384,0.8739,0.91339,0.87902,0.91114,0.76587,0.43858,0.35983,0.81174,0.00091302,0.00091302,0.00091302
11,7837.41,0.48803,0.47534,0.8712,0.91841,0.87879,0.92289,0.78805,0.441,0.35517,0.81408,0.000891022,0.000891022,0.000891022
12,8381.61,0.48158,0.46494,0.87143,0.81964,0.86256,0.86122,0.71535,0.44249,0.38111,0.81108,0.000869024,0.000869024,0.000869024
13,8935.09,0.47386,0.44724,0.86642,0.89552,0.85307,0.88706,0.76876,0.43078,0.36681,0.8054,0.000847026,0.000847026,0.000847026
14,9448.99,0.46958,0.44411,0.86444,0.84794,0.89358,0.89622,0.75962,0.44541,0.36254,0.80498,0.000825029,0.000825029,0.000825029
15,9933.61,0.46465,0.44123,0.86825,0.90131,0.85198,0.90143,0.76851,0.43383,0.34354,0.80757,0.000803031,0.000803031,0.000803031
16,10429.5,0.45908,0.43165,0.86362,0.84328,0.85798,0.88838,0.74914,0.41881,0.35423,0.803,0.000781033,0.000781033,0.000781033
17,10905,0.45147,0.42477,0.86112,0.87886,0.86969,0.89677,0.77641,0.43264,0.32938,0.80529,0.000759035,0.000759035,0.000759035
18,11324.3,0.45649,0.42053,0.86164,0.90065,0.91097,0.92844,0.81186,0.41409,0.32252,0.80031,0.000737037,0.000737037,0.000737037
19,11756.2,0.44639,0.41756,0.86156,0.92198,0.88066,0.92082,0.79787,0.42547,0.32349,0.8043,0.00071504,0.00071504,0.00071504
20,12194.6,0.43886,0.40626,0.8562,0.9213,0.86356,0.914,0.80369,0.39703,0.30931,0.79678,0.000693042,0.000693042,0.000693042
21,12569.8,0.43675,0.40318,0.85892,0.91128,0.88076,0.90931,0.79389,0.40332,0.322,0.79913,0.000671044,0.000671044,0.000671044
22,12940.8,0.43277,0.39973,0.85784,0.88891,0.85904,0.90046,0.77129,0.41494,0.32223,0.80153,0.000649046,0.000649046,0.000649046
